state,season,crop,plot_area,avg_temp,total_rainfall,humidity,drought_index,soil_type,soil_texture,soil_ph,soil_organic_carbon,fertilizer_n,fertilizer_p,fertilizer_k,previous_crop,year,ndvi_mean,production,yield_t_ha
karnataka,rabi,sugarcane,2.58,27.0,1316.15,69.31,0.2,alluvial,loamy,7.19,0.97,86.1,45.22,57.61,cotton,2011,0.74,243.37,94.35
karnataka,summer,sugarcane,3.97,27.25,1074.7,70.71,0.17,black,loamy,6.37,0.61,146.08,44.01,68.78,cotton,2021,0.63,362.17,91.15
andhra pradesh,kharif,sugarcane,1.87,26.07,1274.22,83.24,0.23,red,sandy,6.08,0.89,138.88,74.89,76.69,cotton,2015,0.71,174.82,93.46
karnataka,rabi,sugarcane,4.92,27.92,1374.77,65.48,0.18,alluvial,clayey,7.1,0.65,124.71,61.03,76.46,wheat,2017,0.8,461.82,93.88
tamil nadu,kharif,sugarcane,3.97,27.43,1189.0,73.9,0.2,alluvial,silty,6.39,0.97,131.3,50.52,73.94,maize,2014,0.79,371.54,93.49
karnataka,kharif,sugarcane,2.5,25.84,1349.4,83.72,0.24,laterite,sandy,7.0,0.94,97.49,55.69,53.18,maize,2015,0.75,236.17,94.4
maharashtra,rabi,sugarcane,1.57,27.5,1421.54,69.26,0.14,red,clayey,6.74,0.68,111.86,79.76,41.27,rice,2010,0.73,147.42,93.9
maharashtra,kharif,sugarcane,3.76,27.56,1228.37,79.89,0.21,alluvial,sandy,6.1,0.87,126.34,62.62,68.16,sugarcane,2023,0.69,348.9,92.8
karnataka,summer,sugarcane,2.24,27.26,1305.9,67.58,0.26,red,silty,6.12,0.65,110.01,51.88,53.44,rice,2015,0.69,207.81,92.67
karnataka,summer,sugarcane,2.36,24.76,936.76,70.24,0.24,red,sandy,7.05,0.85,118.23,79.22,51.06,sugarcane,2016,0.77,216.39,91.53
telangana,rabi,sugarcane,4.55,29.99,1239.63,68.72,0.23,black,sandy,6.38,0.76,118.23,40.55,71.02,cotton,2014,0.72,421.8,92.66
telangana,summer,sugarcane,1.01,27.2,1225.2,67.09,0.16,red,clayey,6.04,0.67,124.77,58.9,58.3,wheat,2012,0.75,94.07,92.71
karnataka,summer,sugarcane,3.12,26.36,1169.11,65.33,0.22,black,loamy,6.11,0.7,142.34,44.19,70.29,rice,2012,0.73,288.24,92.53
telangana,kharif,sugarcane,4.41,28.84,1267.07,75.99,0.15,red,sandy,6.8,0.81,127.25,74.75,63.28,maize,2011,0.76,413.64,93.69
andhra pradesh,summer,sugarcane,2.03,26.35,956.65,70.03,0.19,red,loamy,6.44,0.89,102.45,45.59,40.52,wheat,2012,0.75,187.0,92.16
andhra pradesh,rabi,sugarcane,4.34,26.38,1168.35,68.01,0.27,alluvial,silty,6.34,0.69,81.34,47.97,58.93,maize,2010,0.73,398.02,91.72
karnataka,summer,sugarcane,3.86,25.86,1141.46,75.16,0.19,black,loamy,6.34,0.78,131.88,46.72,47.42,rice,2022,0.74,358.81,92.89
tamil nadu,summer,sugarcane,1.41,26.58,1081.53,84.14,0.22,alluvial,clayey,6.85,0.92,100.06,65.14,60.97,rice,2023,0.71,130.24,92.44
andhra pradesh,kharif,sugarcane,2.12,28.26,941.37,79.38,0.12,red,sandy,6.58,0.61,132.32,51.72,50.2,rice,2016,0.73,192.43,90.73
tamil nadu,kharif,sugarcane,4.12,26.67,1168.85,71.69,0.11,laterite,silty,6.02,0.91,137.23,79.51,58.51,sugarcane,2012,0.75,383.88,93.15
karnataka,rabi,sugarcane,2.55,28.75,1076.36,83.64,0.2,red,silty,6.69,0.99,146.97,64.13,75.56,cotton,2012,0.79,236.13,92.72
tamil nadu,rabi,sugarcane,1.22,25.83,1144.74,72.96,0.21,black,silty,6.78,0.62,113.96,71.68,62.96,rice,2014,0.75,111.94,92.03
karnataka,kharif,sugarcane,2.59,27.57,1160.67,66.24,0.19,laterite,sandy,6.25,0.82,119.96,54.92,45.6,rice,2012,0.79,241.1,92.92
andhra pradesh,summer,sugarcane,1.67,26.23,1032.27,76.0,0.1,black,sandy,6.34,0.83,110.3,61.51,65.77,rice,2016,0.7,153.97,92.1
karnataka,rabi,sugarcane,1.08,28.24,1304.21,72.74,0.17,black,loamy,6.96,0.9,119.06,60.27,78.33,sugarcane,2013,0.66,100.63,93.37
tamil nadu,kharif,sugarcane,1.64,26.96,1274.09,69.97,0.19,laterite,sandy,6.43,0.68,145.02,42.14,61.63,sugarcane,2021,0.83,153.85,93.54
telangana,rabi,sugarcane,4.57,27.07,1240.12,76.38,0.17,red,silty,7.07,0.73,87.65,67.1,53.41,maize,2024,0.69,424.19,92.85
maharashtra,kharif,sugarcane,4.7,26.78,1005.25,81.65,0.19,red,sandy,6.03,0.66,87.56,69.49,67.2,rice,2012,0.72,429.52,91.4
telangana,rabi,sugarcane,2.31,25.32,1172.05,80.85,0.21,black,clayey,6.43,0.76,121.37,49.23,55.66,wheat,2023,0.77,214.75,92.82
tamil nadu,kharif,sugarcane,3.83,26.69,1098.62,84.81,0.09,red,clayey,6.14,0.62,128.53,66.18,46.03,wheat,2024,0.75,354.69,92.58
karnataka,kharif,sugarcane,2.25,25.8,1450.37,71.85,0.26,laterite,silty,6.9,0.71,118.9,60.44,51.03,cotton,2011,0.79,212.53,94.32
andhra pradesh,rabi,sugarcane,1.26,25.98,1077.89,82.89,0.19,black,loamy,6.4,0.83,110.06,66.43,62.22,rice,2017,0.79,116.36,92.67
andhra pradesh,rabi,sugarcane,4.74,25.4,1176.75,82.37,0.14,alluvial,loamy,6.69,0.96,81.67,44.62,73.83,sugarcane,2010,0.76,443.17,93.57
karnataka,summer,sugarcane,2.13,26.57,1340.86,67.83,0.2,alluvial,clayey,6.67,0.94,107.86,57.96,75.59,sugarcane,2011,0.8,202.6,94.92
tamil nadu,kharif,sugarcane,1.17,25.14,973.12,80.7,0.23,laterite,sandy,6.32,0.74,91.9,40.49,74.67,sugarcane,2023,0.8,108.3,92.44
tamil nadu,rabi,sugarcane,2.94,26.97,1130.88,80.29,0.2,black,loamy,6.92,0.66,149.03,58.28,49.59,cotton,2013,0.84,271.9,92.64
karnataka,summer,sugarcane,4.46,26.38,1134.68,78.49,0.23,black,silty,6.88,0.61,128.68,44.86,54.09,sugarcane,2017,0.71,409.32,91.76
karnataka,summer,sugarcane,3.58,27.19,1194.55,68.41,0.15,laterite,silty,7.02,0.94,120.34,56.3,59.75,sugarcane,2022,0.7,334.17,93.37
karnataka,kharif,sugarcane,4.67,28.91,1347.44,84.8,0.23,red,clayey,7.02,0.64,86.24,42.59,63.52,maize,2014,0.78,435.73,93.22
tamil nadu,kharif,sugarcane,4.08,25.48,1191.24,80.96,0.2,red,clayey,6.82,0.65,109.47,54.16,78.0,wheat,2011,0.8,380.13,93.06
andhra pradesh,summer,sugarcane,3.47,27.96,1417.29,69.22,0.21,laterite,loamy,6.65,0.76,82.23,77.39,67.62,rice,2015,0.77,327.53,94.36
telangana,rabi,sugarcane,2.89,26.17,845.97,67.09,0.2,black,loamy,7.17,0.83,133.83,48.49,43.74,wheat,2014,0.79,263.46,91.25
karnataka,rabi,sugarcane,4.87,24.26,1014.01,75.01,0.14,black,sandy,7.13,0.68,123.42,65.44,65.68,wheat,2010,0.75,448.09,91.96
telangana,kharif,sugarcane,3.18,27.0,1180.06,74.03,0.24,black,sandy,6.72,0.83,122.11,42.65,40.49,maize,2024,0.71,294.14,92.63
andhra pradesh,summer,sugarcane,2.42,26.84,1210.28,81.16,0.13,black,silty,6.01,0.9,88.93,68.07,50.66,cotton,2013,0.77,226.6,93.81
maharashtra,rabi,sugarcane,2.8,26.11,1344.39,83.39,0.25,black,silty,6.01,0.83,94.05,62.92,66.22,maize,2019,0.66,261.59,93.35
tamil nadu,summer,sugarcane,3.93,27.52,1117.24,71.09,0.24,alluvial,sandy,6.5,0.84,135.52,77.85,69.36,cotton,2024,0.76,362.59,92.35
maharashtra,rabi,sugarcane,3.08,28.07,1239.97,84.51,0.16,laterite,clayey,6.11,0.6,124.03,51.36,72.52,sugarcane,2019,0.76,286.51,92.92
maharashtra,kharif,sugarcane,1.87,28.82,1007.43,75.87,0.12,alluvial,loamy,6.49,0.84,145.07,75.68,49.9,rice,2019,0.74,171.99,92.11
karnataka,kharif,sugarcane,2.92,27.11,1264.24,65.47,0.15,red,clayey,7.13,0.76,84.19,58.16,75.48,wheat,2022,0.72,272.01,93.2
telangana,kharif,sugarcane,2.09,29.34,1280.52,78.35,0.17,black,silty,6.79,0.78,130.85,60.84,70.89,sugarcane,2023,0.74,194.63,93.32
karnataka,summer,sugarcane,3.63,26.96,1105.54,66.86,0.24,red,silty,6.89,0.63,114.21,58.4,51.87,maize,2015,0.64,330.75,91.12
karnataka,kharif,sugarcane,4.31,27.03,1159.32,81.46,0.22,black,loamy,6.23,0.89,112.63,52.86,68.93,sugarcane,2024,0.81,402.03,93.26
karnataka,summer,sugarcane,4.64,24.59,1162.81,78.09,0.2,black,silty,6.86,0.81,93.36,62.77,58.62,maize,2017,0.78,430.52,92.78
karnataka,rabi,sugarcane,2.93,26.29,1352.83,82.97,0.18,alluvial,clayey,6.65,0.69,133.83,52.85,55.64,sugarcane,2022,0.66,273.45,93.2
tamil nadu,summer,sugarcane,1.05,29.41,1168.98,67.1,0.22,alluvial,sandy,6.35,1.0,140.93,57.17,66.32,wheat,2023,0.84,98.07,93.72
tamil nadu,summer,sugarcane,3.08,28.74,1113.88,81.93,0.13,laterite,silty,6.57,0.79,105.35,70.21,78.82,sugarcane,2021,0.73,284.28,92.17
karnataka,rabi,sugarcane,3.8,26.9,1217.37,70.82,0.28,alluvial,silty,7.08,0.78,124.65,43.79,55.84,rice,2016,0.72,350.21,92.24
telangana,rabi,sugarcane,4.37,26.85,1300.75,71.95,0.16,black,loamy,6.88,0.83,129.54,52.39,56.97,rice,2022,0.78,410.96,94.01
andhra pradesh,kharif,sugarcane,2.05,28.62,1127.86,74.51,0.23,laterite,loamy,6.56,0.92,90.55,42.47,42.27,rice,2012,0.72,189.38,92.55
maharashtra,rabi,sugarcane,4.31,28.43,1370.52,70.64,0.24,black,clayey,6.48,0.74,125.21,51.73,65.22,maize,2013,0.7,401.06,93.06
tamil nadu,summer,sugarcane,3.9,27.72,1055.03,84.62,0.21,black,sandy,6.18,0.71,87.33,63.37,50.51,sugarcane,2018,0.74,357.11,91.57
andhra pradesh,kharif,sugarcane,2.35,28.84,937.72,68.06,0.18,black,clayey,7.05,0.99,113.58,73.63,79.57,rice,2013,0.78,215.87,91.92
tamil nadu,summer,sugarcane,1.81,27.74,1213.5,68.87,0.29,laterite,sandy,6.88,0.82,129.07,48.61,59.68,wheat,2016,0.72,167.34,92.6
karnataka,summer,sugarcane,1.48,25.96,1388.35,77.67,0.21,black,sandy,6.68,0.96,93.94,77.32,55.45,sugarcane,2012,0.72,140.39,94.57
maharashtra,rabi,sugarcane,4.31,26.64,1001.39,73.04,0.31,laterite,clayey,6.31,0.6,102.94,40.04,57.46,maize,2012,0.78,391.23,90.73
andhra pradesh,rabi,sugarcane,1.5,26.34,947.6,73.54,0.13,red,silty,6.03,0.95,130.84,66.56,49.94,maize,2020,0.76,138.45,92.41
telangana,rabi,sugarcane,2.67,25.51,1193.39,66.45,0.2,red,loamy,7.04,0.86,120.98,79.43,46.83,maize,2022,0.78,248.72,93.32
andhra pradesh,kharif,sugarcane,4.14,27.4,1231.03,73.67,0.22,alluvial,silty,6.92,0.84,81.04,53.35,56.86,sugarcane,2010,0.82,387.36,93.58
andhra pradesh,rabi,sugarcane,2.05,28.21,1458.64,79.32,0.17,alluvial,sandy,6.76,0.73,130.16,79.72,44.9,wheat,2020,0.79,193.15,94.27
maharashtra,kharif,sugarcane,3.83,26.0,1203.67,74.31,0.24,black,loamy,6.87,0.62,93.39,79.44,46.72,rice,2013,0.69,351.82,91.77
andhra pradesh,summer,sugarcane,4.65,27.31,964.82,69.45,0.2,laterite,clayey,7.14,0.66,115.12,54.13,47.43,sugarcane,2015,0.71,421.36,90.57
karnataka,rabi,sugarcane,1.25,26.46,1122.64,84.75,0.22,red,clayey,6.54,0.96,111.35,48.5,79.79,rice,2016,0.67,116.11,92.96
tamil nadu,summer,sugarcane,1.5,24.34,1330.95,82.61,0.2,alluvial,sandy,7.02,0.96,98.21,64.18,41.4,cotton,2013,0.73,141.27,94.25
maharashtra,kharif,sugarcane,1.21,27.19,1105.91,84.92,0.2,alluvial,sandy,6.31,0.75,82.53,53.65,44.19,wheat,2016,0.77,111.38,92.17
telangana,rabi,sugarcane,3.61,27.77,1002.0,83.21,0.17,red,sandy,6.22,0.97,89.04,41.4,73.63,sugarcane,2018,0.77,334.05,92.5
maharashtra,summer,sugarcane,2.78,25.41,1274.68,79.14,0.1,alluvial,clayey,6.78,0.9,86.44,73.27,51.31,sugarcane,2018,0.72,261.77,94.02
tamil nadu,summer,sugarcane,2.46,26.45,1319.65,76.13,0.22,alluvial,clayey,6.86,0.67,143.67,70.57,61.1,maize,2013,0.63,229.18,93.07
andhra pradesh,summer,sugarcane,4.39,28.73,1397.13,71.63,0.22,alluvial,loamy,6.77,0.85,129.66,55.08,71.18,sugarcane,2019,0.72,411.48,93.65
telangana,kharif,sugarcane,4.62,28.79,1275.54,67.56,0.21,laterite,clayey,6.26,0.95,132.44,50.42,75.5,cotton,2012,0.73,432.82,93.74
andhra pradesh,summer,sugarcane,1.26,28.51,1110.74,78.03,0.18,alluvial,sandy,6.65,0.99,148.06,59.96,56.12,cotton,2012,0.68,116.7,92.5
telangana,kharif,sugarcane,1.8,26.86,1370.84,78.34,0.17,laterite,loamy,6.64,0.66,139.01,42.51,69.46,cotton,2012,0.79,169.33,94.23
telangana,summer,sugarcane,3.94,26.66,1316.39,71.45,0.18,black,sandy,7.1,0.93,129.0,76.98,50.25,cotton,2013,0.76,371.42,94.36
andhra pradesh,rabi,sugarcane,3.3,24.99,1216.19,75.56,0.18,alluvial,clayey,6.34,0.64,143.08,47.17,46.97,sugarcane,2013,0.79,308.37,93.38
maharashtra,kharif,sugarcane,3.45,26.97,1171.79,84.92,0.26,black,sandy,6.5,0.88,136.59,72.79,47.78,rice,2023,0.77,320.66,92.93
karnataka,kharif,sugarcane,3.27,26.58,1204.52,83.15,0.17,laterite,loamy,6.13,0.64,136.67,58.53,53.5,cotton,2019,0.79,303.35,92.9
maharashtra,rabi,sugarcane,4.58,27.38,1138.57,78.95,0.21,black,sandy,6.3,0.78,119.5,53.26,54.45,maize,2020,0.77,422.83,92.31
andhra pradesh,summer,sugarcane,3.92,26.88,1254.87,65.36,0.21,alluvial,sandy,6.12,0.74,124.26,70.37,78.36,wheat,2011,0.74,365.38,93.25
andhra pradesh,summer,sugarcane,2.86,27.2,1165.62,67.18,0.22,black,silty,6.88,0.73,108.48,64.73,54.79,rice,2015,0.81,266.49,93.14
tamil nadu,kharif,sugarcane,4.75,25.03,1244.27,72.27,0.25,black,silty,7.12,0.7,136.55,52.24,54.86,wheat,2021,0.79,441.97,93.01
telangana,summer,sugarcane,3.13,27.58,1212.31,70.67,0.23,black,clayey,6.26,0.96,114.71,49.64,54.22,cotton,2012,0.73,292.98,93.57
andhra pradesh,kharif,sugarcane,1.31,27.56,1279.58,73.49,0.11,black,clayey,6.33,0.87,145.17,52.72,55.1,maize,2022,0.74,123.64,94.16
karnataka,rabi,sugarcane,1.16,27.75,1208.56,84.18,0.26,alluvial,clayey,6.65,0.79,112.34,46.83,72.56,sugarcane,2011,0.79,107.69,92.87
telangana,summer,sugarcane,4.89,26.24,1133.32,69.22,0.15,black,loamy,6.79,0.79,87.84,72.26,75.14,cotton,2010,0.76,453.04,92.72
maharashtra,rabi,sugarcane,2.81,28.04,982.56,67.04,0.18,laterite,clayey,6.75,0.71,88.73,67.27,49.1,wheat,2016,0.7,255.5,90.76
telangana,kharif,sugarcane,1.46,28.42,1427.92,73.65,0.27,laterite,clayey,6.32,0.68,123.46,43.07,63.73,sugarcane,2010,0.72,136.85,93.66
tamil nadu,summer,sugarcane,1.35,26.45,949.34,66.06,0.17,alluvial,loamy,7.04,0.62,132.42,40.56,52.19,rice,2013,0.74,123.29,91.32
maharashtra,kharif,sugarcane,4.64,25.3,1315.22,81.96,0.18,alluvial,sandy,6.74,0.62,121.5,58.22,46.83,maize,2012,0.75,434.7,93.65
tamil nadu,summer,sugarcane,3.62,27.6,1254.1,65.43,0.2,laterite,loamy,6.66,0.7,140.66,61.66,72.27,maize,2014,0.71,336.11,92.89
maharashtra,summer,sugarcane,3.42,26.29,1079.43,84.23,0.23,black,loamy,6.0,0.66,138.96,47.33,58.34,wheat,2012,0.76,315.51,92.21
andhra pradesh,summer,sugarcane,3.2,26.61,1148.32,78.55,0.15,alluvial,sandy,6.79,0.8,129.19,58.79,72.18,sugarcane,2024,0.73,297.47,92.96
tamil nadu,kharif,sugarcane,3.37,27.79,1154.59,82.51,0.22,laterite,loamy,6.45,0.75,106.98,60.93,73.39,wheat,2019,0.77,311.5,92.39
maharashtra,summer,sugarcane,2.87,27.04,1163.97,79.95,0.18,alluvial,loamy,6.07,0.66,112.78,53.68,75.32,sugarcane,2024,0.78,264.92,92.46
telangana,kharif,sugarcane,1.2,26.9,1185.56,69.84,0.17,alluvial,loamy,6.15,0.98,86.36,46.13,49.87,rice,2010,0.77,112.49,93.84
karnataka,summer,sugarcane,2.55,26.25,1297.83,83.28,0.16,red,sandy,7.08,0.9,111.81,45.75,66.75,sugarcane,2017,0.77,241.04,94.48
andhra pradesh,summer,sugarcane,3.4,26.59,1281.91,75.1,0.25,laterite,clayey,7.19,0.97,144.51,75.84,78.06,cotton,2013,0.75,320.04,94.15
andhra pradesh,rabi,sugarcane,2.01,28.16,986.17,65.2,0.26,red,sandy,6.04,0.93,87.3,44.02,71.09,rice,2023,0.85,185.22,92.18
karnataka,rabi,sugarcane,3.64,27.03,970.83,68.53,0.17,laterite,clayey,6.92,0.71,83.84,42.3,71.12,rice,2016,0.8,333.25,91.65
andhra pradesh,kharif,sugarcane,1.85,26.44,1092.79,65.32,0.19,alluvial,clayey,6.97,0.61,132.63,53.97,67.89,maize,2017,0.73,170.11,91.88
maharashtra,summer,sugarcane,2.29,27.95,1158.8,75.63,0.2,alluvial,silty,6.03,0.92,123.38,52.32,52.2,sugarcane,2023,0.78,213.88,93.2
maharashtra,summer,sugarcane,3.28,26.33,1192.98,78.85,0.17,red,loamy,6.69,0.88,90.34,70.28,51.72,sugarcane,2019,0.74,306.67,93.45
andhra pradesh,summer,sugarcane,3.57,26.63,1245.36,80.62,0.24,black,clayey,6.36,0.96,104.39,46.97,57.67,maize,2010,0.72,332.97,93.39
tamil nadu,summer,sugarcane,2.25,25.45,1266.61,77.22,0.2,laterite,sandy,6.82,0.72,114.38,52.46,59.78,rice,2015,0.75,210.09,93.33
telangana,kharif,sugarcane,3.72,28.2,1466.12,68.13,0.12,alluvial,loamy,7.0,0.72,121.9,50.26,71.02,wheat,2021,0.77,353.26,94.91
telangana,rabi,sugarcane,2.83,28.21,1275.02,78.8,0.18,red,sandy,6.73,0.98,90.36,63.29,72.55,rice,2015,0.72,265.43,93.91
maharashtra,kharif,sugarcane,1.82,26.68,1400.68,66.15,0.18,alluvial,silty,6.56,0.73,113.81,45.68,75.66,cotton,2022,0.86,171.92,94.55
karnataka,rabi,sugarcane,4.77,29.51,1016.74,66.41,0.21,black,silty,6.96,0.7,94.82,44.17,52.84,maize,2023,0.76,437.88,91.72
telangana,summer,sugarcane,2.46,28.05,1233.87,81.08,0.19,black,clayey,7.06,0.98,131.61,67.79,76.87,maize,2015,0.69,230.47,93.58
karnataka,summer,sugarcane,1.19,27.59,1007.06,67.61,0.25,alluvial,silty,6.11,0.75,80.75,79.06,77.72,rice,2018,0.68,108.38,91.1
andhra pradesh,rabi,sugarcane,1.7,27.56,1370.52,68.27,0.17,laterite,loamy,7.12,0.88,135.0,68.66,51.91,maize,2016,0.75,160.06,94.02
tamil nadu,summer,sugarcane,3.89,27.67,1098.51,82.75,0.13,black,clayey,6.73,0.8,101.25,68.36,75.05,maize,2010,0.75,360.77,92.81
andhra pradesh,kharif,sugarcane,3.43,27.49,1179.6,83.13,0.25,alluvial,loamy,6.92,0.75,97.18,43.33,54.58,rice,2016,0.76,316.89,92.36
karnataka,rabi,sugarcane,1.27,28.79,982.38,74.19,0.18,red,silty,6.08,0.77,80.03,52.08,56.45,wheat,2017,0.74,116.21,91.16
karnataka,kharif,sugarcane,4.96,27.33,1267.31,65.3,0.12,laterite,clayey,6.13,0.99,145.57,61.44,42.28,rice,2011,0.73,467.12,94.17
karnataka,rabi,sugarcane,1.95,25.6,1327.99,68.55,0.28,alluvial,silty,6.68,0.89,122.2,71.41,68.05,sugarcane,2012,0.81,183.98,94.26
tamil nadu,summer,sugarcane,2.24,27.74,1381.85,84.03,0.26,black,loamy,6.97,0.76,144.99,68.91,45.99,rice,2024,0.7,208.75,93.22
tamil nadu,summer,sugarcane,3.73,26.69,1018.69,71.2,0.24,laterite,clayey,6.03,0.64,98.09,49.97,59.07,sugarcane,2010,0.79,342.29,91.84
telangana,summer,sugarcane,1.09,27.05,1151.14,79.26,0.18,laterite,sandy,7.12,0.85,134.38,66.34,77.73,maize,2016,0.72,100.69,92.55
telangana,rabi,sugarcane,4.66,27.1,1378.8,80.6,0.24,black,loamy,6.45,0.66,119.65,59.14,50.96,maize,2022,0.77,435.94,93.63
tamil nadu,kharif,sugarcane,4.8,24.72,1120.53,75.92,0.21,laterite,clayey,6.54,0.61,85.06,54.82,71.71,maize,2021,0.76,443.89,92.42
andhra pradesh,rabi,sugarcane,2.44,27.18,1164.23,65.41,0.14,laterite,clayey,6.15,0.61,86.46,67.52,43.9,wheat,2022,0.71,224.87,92.31
tamil nadu,rabi,sugarcane,2.31,25.09,1341.19,74.17,0.13,black,clayey,6.71,0.74,137.39,76.1,48.5,wheat,2015,0.74,216.98,93.95
andhra pradesh,kharif,sugarcane,2.99,27.35,1063.47,77.64,0.16,laterite,loamy,6.99,0.72,128.49,74.67,73.8,cotton,2021,0.66,275.1,91.9
maharashtra,summer,sugarcane,3.91,25.25,1181.6,67.61,0.21,red,loamy,6.46,0.92,85.11,59.71,69.02,rice,2018,0.75,365.49,93.51
maharashtra,summer,sugarcane,1.9,27.21,1171.37,70.83,0.07,black,sandy,6.73,0.64,142.31,56.99,73.52,maize,2012,0.76,176.24,92.66
tamil nadu,summer,sugarcane,1.6,26.98,1103.35,83.41,0.1,red,silty,6.27,0.87,118.51,48.89,51.17,sugarcane,2011,0.73,148.88,93.33
tamil nadu,rabi,sugarcane,3.2,25.78,1307.78,76.33,0.19,black,loamy,6.51,0.63,100.71,59.46,78.89,cotton,2024,0.72,298.69,93.32
telangana,rabi,sugarcane,1.02,27.88,1180.61,74.14,0.17,alluvial,loamy,7.12,0.95,94.13,44.8,71.82,maize,2020,0.64,94.79,92.68
andhra pradesh,summer,sugarcane,4.42,27.41,1261.68,82.33,0.23,red,sandy,7.08,0.7,139.43,75.84,56.95,wheat,2016,0.74,410.46,92.88
tamil nadu,kharif,sugarcane,3.09,26.7,1208.15,80.13,0.24,red,sandy,6.89,0.83,96.95,50.84,65.49,maize,2011,0.76,286.78,92.7
tamil nadu,rabi,sugarcane,3.68,28.73,1033.31,71.57,0.14,alluvial,clayey,7.11,0.95,92.23,71.56,52.66,cotton,2012,0.71,339.45,92.24
tamil nadu,rabi,sugarcane,1.76,27.25,1237.49,74.16,0.16,red,sandy,6.01,0.82,106.63,78.53,76.8,cotton,2019,0.71,163.34,92.98
karnataka,summer,sugarcane,3.93,27.47,947.33,73.03,0.16,alluvial,loamy,6.14,0.87,83.82,50.57,47.29,cotton,2012,0.74,359.74,91.64
telangana,rabi,sugarcane,4.7,25.86,1379.63,73.9,0.21,laterite,loamy,6.77,0.61,137.27,72.26,41.0,maize,2023,0.72,439.15,93.37
tamil nadu,kharif,sugarcane,1.58,28.87,1176.26,73.17,0.24,alluvial,silty,7.06,1.0,105.08,44.53,74.37,wheat,2014,0.79,147.26,93.17
maharashtra,summer,sugarcane,4.57,27.36,1284.7,73.38,0.15,laterite,sandy,6.2,0.64,107.08,78.95,42.07,cotton,2014,0.7,423.45,92.75
tamil nadu,kharif,sugarcane,2.27,25.9,1301.99,72.7,0.21,alluvial,silty,6.4,0.83,95.73,76.49,70.35,wheat,2024,0.78,213.25,94.12
karnataka,rabi,sugarcane,3.67,26.74,1404.06,83.85,0.19,alluvial,silty,6.56,0.98,102.5,47.68,50.47,rice,2010,0.74,348.49,94.85
telangana,summer,sugarcane,4.91,25.83,1276.13,65.53,0.17,laterite,loamy,6.08,0.7,114.8,53.28,78.83,sugarcane,2013,0.78,459.43,93.5
tamil nadu,rabi,sugarcane,4.83,26.97,1239.13,73.99,0.17,laterite,loamy,6.46,0.75,144.05,41.19,78.3,wheat,2013,0.74,448.83,92.94
maharashtra,kharif,sugarcane,3.33,28.37,1029.57,78.09,0.2,black,sandy,6.22,0.85,97.02,46.41,72.84,maize,2021,0.74,306.71,92.0
maharashtra,kharif,sugarcane,3.61,25.36,1048.03,74.87,0.16,laterite,loamy,7.14,0.86,138.25,50.65,54.21,rice,2019,0.75,335.14,92.83
telangana,kharif,sugarcane,1.88,28.26,1151.26,71.73,0.15,alluvial,loamy,6.56,0.61,108.87,65.32,74.55,maize,2013,0.73,173.32,92.08
maharashtra,summer,sugarcane,4.89,26.77,1377.32,72.64,0.25,black,sandy,6.31,0.9,95.61,53.51,62.82,wheat,2018,0.7,458.87,93.93
tamil nadu,kharif,sugarcane,4.88,27.31,1184.76,82.67,0.19,laterite,loamy,7.0,0.89,115.08,51.66,68.81,wheat,2011,0.74,454.45,93.05
maharashtra,kharif,sugarcane,3.01,28.43,1044.19,67.08,0.14,laterite,loamy,6.25,0.95,85.99,54.01,61.65,cotton,2023,0.75,278.83,92.66
karnataka,rabi,sugarcane,2.55,25.84,1134.01,73.25,0.18,alluvial,sandy,7.1,0.97,147.38,45.19,47.99,sugarcane,2019,0.74,237.31,93.09
telangana,rabi,sugarcane,1.27,27.96,973.85,71.23,0.27,alluvial,silty,6.9,0.89,118.88,61.5,40.21,rice,2019,0.74,116.81,91.66
karnataka,rabi,sugarcane,1.23,25.89,1242.05,81.22,0.17,red,sandy,6.98,0.88,99.21,43.37,59.37,rice,2010,0.72,115.09,93.34
maharashtra,rabi,sugarcane,3.61,25.09,1202.54,81.35,0.27,red,clayey,7.01,0.73,90.08,62.47,66.45,sugarcane,2020,0.79,335.29,92.92
karnataka,summer,sugarcane,4.74,26.66,1154.66,71.53,0.21,alluvial,clayey,6.85,0.89,133.48,55.78,40.03,wheat,2021,0.7,438.75,92.56
karnataka,rabi,sugarcane,1.32,26.9,1477.59,67.73,0.21,laterite,sandy,6.19,0.7,97.76,41.35,51.86,maize,2024,0.7,124.45,94.41
tamil nadu,summer,sugarcane,2.89,28.59,1218.93,75.37,0.23,laterite,loamy,6.77,0.67,102.83,70.07,72.92,cotton,2022,0.73,267.15,92.54
telangana,rabi,sugarcane,3.3,27.62,1161.44,76.43,0.19,black,silty,6.17,1.0,140.88,57.75,49.01,sugarcane,2019,0.7,307.55,93.25
tamil nadu,rabi,sugarcane,1.43,26.85,1373.27,67.85,0.2,alluvial,clayey,6.24,0.98,133.38,60.21,54.66,sugarcane,2020,0.72,134.71,94.2
telangana,summer,sugarcane,4.43,25.89,1017.59,80.44,0.22,laterite,loamy,6.83,0.89,144.99,54.2,64.75,wheat,2024,0.72,407.87,92.0
karnataka,kharif,sugarcane,2.0,26.65,1053.12,83.16,0.29,black,sandy,6.72,0.84,121.58,52.77,79.4,maize,2017,0.66,182.42,91.25
